budget,id,popularity,release_date,revenue,title,vote_average,vote_count,release_year,roi
30000000.0,862,21.946943,1995-10-30,373554033.0,Toy Story,7.7,5415.0,1995,1145.18011
65000000.0,8844,17.015539,1995-12-15,262797249.0,Jumanji,6.9,2413.0,1995,304.30346
0.0,15602,11.7129,1995-12-22,0.0,Grumpier Old Men,6.5,92.0,1995,0.0
16000000.0,31357,3.859495,1995-12-22,81452156.0,Waiting to Exhale,6.1,34.0,1995,409.075975
0.0,11862,8.387519,1995-02-10,76578911.0,Father of the Bride Part II,5.7,173.0,1995,0.0
60000000.0,949,17.924927,1995-12-15,187436818.0,Heat,7.7,1886.0,1995,212.39469666666668
58000000.0,11860,6.677277,1995-12-15,0.0,Sabrina,6.2,141.0,1995,0.0
0.0,45325,2.561161,1995-12-22,0.0,Tom and Huck,5.4,45.0,1995,0.0
35000000.0,9091,5.23158,1995-12-22,64350171.0,Sudden Death,5.5,174.0,1995,83.85763142857144
58000000.0,710,14.686036,1995-11-16,352194034.0,GoldenEye,6.6,1194.0,1995,507.2310931034483
62000000.0,9087,6.318445,1995-11-17,107879496.0,The American President,6.5,199.0,1995,73.9991870967742
0.0,12110,5.430331,1995-12-22,0.0,Dracula: Dead and Loving It,5.7,210.0,1995,0.0
0.0,21032,12.140733,1995-12-22,11348324.0,Balto,7.1,423.0,1995,0.0
44000000.0,10858,5.092,1995-12-22,13681765.0,Nixon,7.1,72.0,1995,-68.90507954545456
98000000.0,1408,7.284477,1995-12-22,10017322.0,Cutthroat Island,5.7,137.0,1995,-89.77824285714286
52000000.0,524,10.137389,1995-11-22,116112375.0,Casino,7.8,1343.0,1995,123.29302884615385
16500000.0,4584,10.673167,1995-12-13,135000000.0,Sense and Sensibility,7.2,364.0,1995,718.1818181818181
4000000.0,5,9.026586,1995-12-09,4300000.0,Four Rooms,6.5,539.0,1995,7.5
30000000.0,9273,8.205448,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995,607.9517766666667
60000000.0,11517,7.337906,1995-11-21,35431113.0,Money Train,5.4,224.0,1995,-40.948145000000004
30250000.0,8012,12.669608,1995-10-20,115101622.0,Get Shorty,6.4,305.0,1995,280.5012297520661
0.0,1710,10.701801,1995-10-27,0.0,Copycat,6.5,199.0,1995,0.0
50000000.0,9691,11.065939,1995-10-06,30303072.0,Assassins,6.0,394.0,1995,-39.393856
0.0,12665,12.133094,1995-10-27,0.0,Powder,6.3,143.0,1995,0.0
3600000.0,451,10.332025,1995-10-27,49800000.0,Leaving Las Vegas,7.1,365.0,1995,1283.3333333333335
0.0,16420,1.845899,1995-12-15,0.0,Othello,7.0,33.0,1995,0.0
12000000.0,9263,8.681325,1995-10-20,27400000.0,Now and Then,6.6,91.0,1995,128.33333333333334
0.0,17015,2.228434,1995-09-27,0.0,Persuasion,7.4,36.0,1995,0.0
18000000.0,902,9.822423,1995-05-16,1738611.0,The City of Lost Children,7.6,308.0,1995,-90.34105
0.0,37557,1.100915,1995-04-30,0.0,Shanghai Triad,6.5,17.0,1995,0.0
0.0,9909,9.481338,1995-08-11,180000000.0,Dangerous Minds,6.4,249.0,1995,0.0
